id,order,name,date,question,description,document_link,mpw_link,identifier,polarity,,,,,,"redakcja potem
kwestia wyboru, czy to sa te, jsakie powinny byc inne"
12,12,Dłuższy urlop po urodzeniu dziecka,2013-05-28,Płatny urlop po urodzeniu dziecka powinien trwać dłużej niż pół roku.,"Ustawa wydłuża okres korzystania przez ojca i matkę z urlopu po urodzeniu dziecka do 52 tygodni łącznie, wprowadza też płatny urlop rodzicielski. Ojcowie mogą wykorzystać dodatkowo 2 tygodnie urlopu ojcowskiego przed ukończeniem przez dziecko 12. roku życia. 
Ustawa weszła w życie 17 czerwca 2013 r.",http://sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=1172,"http://mamprawowiedziec.pl/strona/glosowanie/7,39,7",42/6,1,,,,,,
13,13,Wiek emerytalny,2012-11-23,Mężczyźni i kobiety powinni przechodzić na emeryturę w wieku 67 lat. ,"Ustawa podwyższa wiek emerytalny dla kobiet i mężczyzn do 67 lat. Przepis o przejściu na emeryturę w wieku 67 lat obejmie wszystkie kobiety w 2040 r., a mężczyzn w 2020 r. 
Ustawa weszła w życie 1 stycznia 2013 r.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=834,"http://mamprawowiedziec.pl/strona/glosowanie/7,27,24",27/24,1,,,,,,
14,15,Obowiązkowe referenda,2013-10-23,1 mln podpisów pod wnioskiem powinien zobowiązać Sejm do zarządzenia ogólnokrajowego referendum.,"Referendum musi zostać zarządzone, jeżeli z referndalną inicjatywą obywatelską wystąpi grupa co najmniej 1 mln. obywateli. Ustawa daje również obywatelom możliwość występowania z inicjatywą zmian w Konstytucji. 
Projekt został odrzucony przez Sejm po I czytaniu 23 października 2013 r. ",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=1646,"http://mamprawowiedziec.pl/strona/glosowanie/7,52,19",52/19,-1,,,,,,
15,16,Suwaki na listach wyborczych,2015-03-22,Na listach wyborczych kobiety i mężczyźni powinni być umieszczani naprzemiennie.,"Zgodnie z projektem listy wyborcze do Sejmu i Parlamentu Europejskiego powinny być konstruowane według zasady naprzemienności kobiet i mężczyzn, tzw. suwak na listach. 
Ostatni raz Sejm zajmował się projektem w styczniu 2015 r. ",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=1151,,36/4,-1,,,,,,
16,17,Obywatele o kodeksie wyborczym,2015-05-27,Obywatele powinni mieć prawo filmowania pracy obwodowych komisji wyborczych.,"Obywatele mieliby możliwość filmowania pracy obwodowych komisji wyborczych oraz prowadzenia transmisji z lokali wyborczych. Projekt umożliwia także klubom poselskim rekomendowanie sędziów wchodzących w skład Państwowej Komisji Wyborczej.
Sejm odrzucił projekt 27 maja 2015 r. po pierwszym czytaniu.",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=3248,"http://mamprawowiedziec.pl/strona/glosowanie/7,93,72",93/72,-1,,,,,,
17,18,Refundacja in vitro,2015-11-01,Państwo powinno refundować zapłodnienie metodą in vitro.,"Z dofinansowania do metody in vitro będą mogły skorzystać małżeństwa oraz pary pozostające w nieformalnych związkach, które wyczerpały inne sposoby leczenia niepłodności, a poddawały się im przez co najmniej 12 miesięcy. Zapłodnieniu ma podlegać nie więcej niż 6 komórek rozrodczych.
Ustawa obowiązuje.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=3245,"http://mamprawowiedziec.pl/strona/glosowanie/7,90,36",95/17,1,,,,,,
18,19,Pakiet onkologiczny,2014-07-22,Czas od rozpoznania nowotworu do rozpoczęcia leczenia powinien wynosić maksymalnie 9 tygodni.,"Pakiet onkologiczny zniósł limity leczenia oraz diagnostyki onkologicznej. Skrócił czas od rozpoznania nowotworu do rozpoczęcia leczenia do 9 tygodni. Każdy pacjent ma mieć swojego lekarza koordynatora, który będzie nadzorował leczenie i ustalał plan leczenia z konsylium lekarskim.
Ustawa obowiązuje. ",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=2505,"http://mamprawowiedziec.pl/strona/glosowanie/7,72,19",72/19,1,,,,,,
19,20,Zmiany dla studentów,2014-10-01,Drugi kierunek studiów nie powinien być płatny.,"Ustawa znosi odpłatność za drugi kierunek studiów. Daje możliwość prowadzenia studiów międzyuczelnianych, a także studiów organizowanych wspólnie z pracodawcami. W nowelizacji zapisano obowiązek trzymiesięcznych praktyk zawodowych dla studentów kierunków praktycznych.
Ustawa obowiązuje.",http://sejm.gov.pl/Sejm7.nsf/PrzebiegProc.xsp?nr=2085,"http://mamprawowiedziec.pl/strona/glosowanie/7,71,57",71/57,1,,,,,,
20,21,Likwidacja ulgi internetowej,2013-01-01,Podatnik powinien mieć możliwość skorzystania z ulgi internetowej przy rozliczaniu PIT.,"Ulga internetowa przy rozliczeniu PIT została zlikwidowana. Posłowie zwiększyli ulgę podatkową dla rodzin z co najmniej trojgiem dzieci.
Ustawa obowiązuje.",http://sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=591,"http://mamprawowiedziec.pl/strona/glosowanie/7,23,89",23/89,1,,,,,,
21,22,Azyl na terenie UE ,2015-08-07,Polska powinna solidarnie przyjmować cudzoziemców starających się o azyl w krajach członkowskich UE.,"Ustawa umożliwia przyjęcie przez Polskę uchodźców starających się o azyl polityczny w innym kraju Unii Europejskiej. Reguluje także prawa imigrantów w trakcie procedury oraz obowiązki Straży Granicznej.
Ustawa czeka na podpis prezydenta.",http://www.sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=3433,"http://mamprawowiedziec.pl/strona/glosowanie/7,96,52",96/52,1,http://www.refugee.pl/?mod=knowbase&path=3206&PHPSESSID=a15ee5d0796a324db9ee3c45f311f3c6,,,,,
22,23,Ustawa krajobrazowa,2015-09-11,Gminy powinny mieć prawo do decydowania o rozmieszczaniu reklam na swoim terytorium.,"Ustawa umożliwia gminom określenie zasad umieszczania na ich terenie obiektów małej architektury, nośników reklamowych oraz ogrodzeń. Projekt reguluje także weryfikację istniejących parków krajobrazowych i innych obszarów chronionych.
Ustawa obowiązuje.",http://sejm.gov.pl/sejm7.nsf/PrzebiegProc.xsp?nr=1525,"http://mamprawowiedziec.pl/strona/glosowanie/7,89,19",89/19,1,,,,,,
,,,,,,,, ,,,,,,,
